,Region Name,AIC,PDQ,RMSE,ROI Proj,Worst ROI,Best ROI
0,60657.0,4527.565541872795,"(3, 2, 3)",1274.6109166846247,20725,-446438,487890
1,75070.0,3944.5534538907186,"(3, 2, 3)",428.48379632028303,102249,52616,151883
2,77494.0,4170.705016006942,"(3, 2, 3)",655.5553096275721,37196,-100010,174402
3,60614.0,4604.868164683503,"(3, 2, 3)",1477.5833852964279,-37592,-720087,644901
4,79936.0,3510.9771375150362,"(2, 2, 2)",186.9623389985076,28072,-86593,142737
5,77084.0,3509.1465532956313,"(3, 2, 3)",185.0680265228333,40600,-16649,97849
6,10467.0,4468.081218831679,"(3, 2, 3)",1138.848196568502,139615,-158435,437667
7,60640.0,4618.753296512852,"(3, 2, 3)",1510.424319719771,31022,-453932,515977
8,77449.0,3576.9957693712918,"(3, 2, 3)",210.09799348475167,30775,-754,62304
9,94109.0,5555.498034294002,"(2, 2, 2)",9119.589404113765,1127439,-3226941,5481821
10,11226.0,4976.66705890566,"(3, 2, 3)",2976.1149065389886,664300,213738,1114862
11,32162.0,3759.5619773867675,"(2, 2, 2)",300.162777566372,66884,-215204,348974
12,11375.0,4663.383837446586,"(3, 2, 3)",1646.5161583560327,419699,19845,819554
13,11235.0,4511.950387453695,"(3, 2, 3)",1237.958489414108,283957,-211859,779774
14,37013.0,3572.83945726815,"(2, 2, 2)",210.48821297402668,104967,-4655,214590
15,90250.0,4137.827548892852,"(2, 2, 2)",613.3877323491807,83792,-486007,653592
16,60647.0,4273.497604819444,"(2, 2, 2)",794.4584796545047,-155913,-760140,448313
17,37211.0,3716.775573960502,"(3, 2, 3)",274.5030899900791,130587,28246,232928
18,78660.0,3516.1713070368555,"(3, 2, 3)",187.5159265551756,54723,19265,90182
19,60618.0,4144.631311931116,"(3, 2, 3)",617.0435021230758,34306,-127140,195753
20,10011.0,3920.2757618608443,"(3, 2, 3)",55362.46165126772,2595751,-187946,5379449
21,10128.0,6397.976387189579,"(2, 1, 2)",42668.182674409094,826215,-1818581,3471011
22,77573.0,3692.1997612998343,"(3, 2, 3)",261.58176972094685,55560,15323,95798
23,77584.0,3685.320429019903,"(3, 2, 3)",258.37229869220914,49269,5421,93116
24,28269.0,3602.3312491594647,"(2, 2, 2)",222.6032730180776,83473,7201,159745
25,79912.0,3643.97021472086,"(3, 1, 3)",231.56542467908352,19208,-17599,56017
26,78572.0,3580.4056406905074,"(3, 2, 3)",211.6083395829225,26314,2730,49898
27,94565.0,4172.706208652085,"(2, 2, 2)",656.9832117378128,235891,-472659,944442
28,30349.0,3796.9813305887733,"(3, 2, 3)",319.57431378267665,29405,-154509,213321
29,20002.0,4199.057477935705,"(3, 2, 3)",684.5624132182352,174372,-160857,509602
30,90046.0,4891.667679156678,"(3, 2, 3)",2533.4108103974413,-84025,-1883119,1715067
31,78130.0,3744.129956700288,"(3, 2, 3)",288.71577138566096,83337,38926,127748
32,78613.0,3792.9645221549326,"(3, 2, 3)",316.90184113807976,41953,-17436,101343
33,20009.0,4374.5770971190905,"(3, 2, 3)",952.8558697340276,137210,-86415,360836
34,75052.0,3569.9136056441544,"(2, 2, 2)",209.46077616333392,116114,-19184,251412
35,10462.0,4368.635963569721,"(3, 2, 3)",944.7544765256094,131193,-194376,456764
36,10456.0,906.5925817008298,"(0, 2, 0)",2012.2067488208065,619560,-451905,1691025
37,37042.0,3460.737759249143,"(3, 2, 3)",168.7080556209885,13602,-5143,32348
38,77429.0,3700.7834653254276,"(2, 1, 2)",268.14901110656785,16541,-32039,65122
39,63376.0,3439.5650164499575,"(3, 2, 3)",162.23397200973872,42255,-13110,97621
40,60613.0,4558.040416849683,"(2, 2, 2)",1364.8758110199462,-422877,-1554345,708590
41,77479.0,3885.337605583398,"(3, 2, 3)",378.1403992407999,-24291,-434678,386096
42,30044.0,3636.787613342842,"(3, 2, 3)",235.76108466044434,70432,-79330,220195
43,73099.0,3745.189330087958,"(2, 2, 2)",292.4706465628893,26686,-6297,59669
44,77036.0,3826.2747832953264,"(3, 2, 3)",337.7723993225101,94576,40133,149018
45,77433.0,3761.496927931485,"(3, 2, 3)",298.4228726625382,39038,-11469,89545
46,10463.0,4833.057208144422,"(3, 2, 3)",2274.384060753495,538211,96899,979523
47,11230.0,4747.58142685574,"(3, 2, 3)",1932.8517438269632,779335,262898,1295773
48,60629.0,3785.426918190237,"(2, 2, 2)",315.48306241183707,-13783,-231926,204359
49,11209.0,4803.291068596451,"(3, 2, 3)",2145.0771207014445,139895,-312935,592726
50,60625.0,4184.789019970177,"(3, 2, 3)",666.9086590546611,-57800,-388761,273161
51,30043.0,3669.39554262197,"(3, 2, 3)",250.89617647219717,60747,-86756,208250
52,75034.0,3934.740486630175,"(3, 2, 3)",415.79334345353027,85698,-25753,197150
53,11212.0,4232.22115741833,"(3, 2, 3)",727.9196948441855,119643,-30815,270103
54,75287.0,3935.239387839034,"(3, 2, 3)",414.3749427557594,86992,45482,128502
55,28277.0,3919.6663602735807,"(3, 2, 3)",400.86889882774165,73114,-111280,257510
56,85032.0,3856.363150010395,"(3, 2, 3)",357.7760382305273,3629,-417950,425208
57,7030.0,4868.769505831642,"(3, 2, 3)",2427.485873112229,-134106,-1733012,1464798
58,11214.0,4534.904499910647,"(3, 2, 3)",1290.8685108968493,289624,6872,572375
59,21234.0,3844.690534407812,"(3, 2, 3)",349.2616796389741,119989,-27211,267190
60,33160.0,5105.327636079571,"(3, 1, 3)",3654.8796572315264,-25565,-831467,780336
61,78521.0,3611.8185948975206,"(3, 2, 3)",224.49048500438,11162,-13492,35817
62,23464.0,3778.15647046828,"(3, 2, 3)",308.23129034174065,-5729,-101629,90171
63,77077.0,3917.8633845579375,"(3, 2, 3)",401.6738863489446,67128,3949,130308
64,94501.0,4525.8729789001445,"(3, 2, 3)",1267.0150325274162,266732,-71307,604772
65,30096.0,3729.5102153777234,"(2, 2, 2)",283.42179142681067,82087,-63283,227457
66,78704.0,4130.922130039491,"(2, 2, 2)",606.7747362835868,139160,-437604,715924
67,98052.0,4319.290649753985,"(3, 2, 3)",858.3313831457845,208457,-75218,492132
68,77379.0,3614.8143944834305,"(3, 2, 3)",226.18076310615353,59303,2018,116588
69,75243.0,3943.0733493968883,"(3, 2, 3)",420.50364944087084,90834,38491,143176
70,11221.0,4762.279125129125,"(3, 2, 3)",1980.1187045037905,617261,-33387,1267910
71,78245.0,3513.396802774914,"(3, 2, 3)",186.45254473543687,30678,2820,58537
72,11229.0,4369.465127144097,"(3, 2, 3)",945.2061078559103,383368,34354,732382
73,8701.0,4105.35747118461,"(3, 1, 3)",558.3068132090038,9313,-124035,142662
74,60619.0,4043.023072003776,"(3, 2, 3)",509.18086762537644,24963,-84492,134419
75,90034.0,4663.395618036194,"(2, 2, 2)",1655.889421076275,315538,-1154788,1785864
76,94110.0,4838.422461867643,"(3, 2, 3)",2299.718059347284,715388,-643780,2074557
77,78666.0,3728.13767773533,"(3, 2, 3)",279.6045493586845,61284,30547,92020
78,30024.0,3811.4206976864307,"(3, 2, 3)",328.6248454095026,80717,-81204,242639
79,60610.0,4631.268905755077,"(3, 2, 3)",1549.7582871882285,12991,-515969,541951
80,44107.0,3593.3260173035274,"(3, 2, 3)",217.16701578283624,69220,9522,128919
81,75067.0,3648.4061214073527,"(2, 2, 2)",243.00748747288716,101044,12472,189615
82,33025.0,3874.4953222652603,"(3, 2, 3)",370.19401745268414,67207,-358939,493355
83,33411.0,3815.6512608821586,"(2, 2, 2)",333.9135820353545,31133,-300839,363106
84,33139.0,5412.217498859785,"(3, 1, 3)",6556.125859670749,106838,-1072259,1285936
85,11377.0,4425.161964070701,"(3, 2, 3)",1051.9429137920513,243860,-142165,629886
86,90044.0,4005.5523707634925,"(2, 2, 2)",478.9384793089702,72487,-398475,543450
87,48197.0,3830.0168041072943,"(3, 2, 3)",340.4933539084595,95880,-21935,213695
88,2169.0,3986.3380604955723,"(3, 2, 3)",458.3271859406188,179668,-124431,483769
89,23462.0,3685.0365978929326,"(2, 2, 2)",260.34994427074173,37239,-130712,205192
90,90805.0,3987.454386320025,"(3, 2, 3)",458.9891498836524,3088,-554018,560194
91,66062.0,3601.6446481542125,"(3, 2, 3)",220.65660297176197,35155,-12815,83126
92,44035.0,3527.68780078721,"(2, 2, 2)",193.17177080099458,23449,-19634,66533
93,95630.0,4290.869544921933,"(3, 2, 3)",815.967759589614,-69592,-622089,482904
